SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
Harness Inc.,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
IEEE SA Open,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Intellibus,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ITopia,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Kloudfuse, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Kubecost,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Linux Magazine,2,"$3,500",Media,"$2,000",None,$0,,,Media,"$1,500",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Loft Labs, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Maira,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Mondoo,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
NanoVMS,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Neuralink,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Octopus Deploy PTY Ltd.,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
